emp_no,first_name,last_name,title,from_date,to_date,salary
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01,40000
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,9999-01-01,50475
10867,Billur,Gyorkos,Engineer,1997-03-23,2002-03-22,40000
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01,72102
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01,65651
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01,40000
10895,Vishwani,Petersohn,Staff,1986-04-26,1987-04-13,67103
10909,Georgi,Atchley,Senior Engineer,2000-12-26,9999-01-01,80935
10912,Oscal,Fasbender,Senior Staff,1991-04-23,1999-09-26,45665
10918,Susumu,Reghbati,Staff,1990-01-29,1990-10-10,59521
10921,Mara,Bahi,Senior Engineer,1995-07-27,9999-01-01,72601
10924,Hironoby,Atchley,Senior Staff,1997-08-14,9999-01-01,84783
10927,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01,51819
10936,Mountaz,Schicker,Senior Staff,1996-05-08,9999-01-01,40000
10943,Berna,Skafidas,Senior Engineer,1999-05-22,9999-01-01,45890
10965,Eckart,Braunschweig,Senior Staff,1986-07-29,9999-01-01,61654
10969,Premal,Noriega,Senior Engineer,1994-05-12,9999-01-01,40000
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01,56005
10986,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01,43900
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,9999-01-01,54174
10989,Sumali,Candan,Senior Staff,1991-07-20,9999-01-01,46406
10990,Shin,Foote,Technique Leader,1990-08-06,9999-01-01,40000
11009,Alper,Axelband,Senior Staff,1993-09-09,9999-01-01,75111
11012,Taegyun,Speckmann,Staff,1996-07-06,9999-01-01,72092
11019,Leon,Huttel,Senior Engineer,1997-05-24,9999-01-01,69387
11021,Srinidhi,Henders,Staff,1998-02-02,9999-01-01,62670
11027,Remzi,Cappello,Senior Engineer,1996-05-06,9999-01-01,40000
11028,Miyeon,Krider,Senior Engineer,1991-06-18,1997-09-04,41111
11031,Ottavia,Walstra,Senior Staff,1993-10-24,9999-01-01,71654
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,9999-01-01,40000
11038,Jinya,Beidas,Senior Staff,1992-07-15,9999-01-01,44993
11042,Gou,Breugel,Senior Engineer,2000-06-21,9999-01-01,40000
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01,65697
11050,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01,52251
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01,40000
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01,40000
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01,65686
11085,Hailing,Thummel,Senior Engineer,1996-02-10,9999-01-01,66437
11100,Berna,Cochrane,Senior Staff,1993-10-13,9999-01-01,40000
11106,Aris,Iwayama,Senior Engineer,1997-08-30,9999-01-01,71446
11110,Valeska,Birjandi,Staff,1987-11-14,1992-03-30,43063
11112,Boaz,Mukaidono,Staff,1995-04-28,9999-01-01,40000
11113,Shahab,Peng,Senior Staff,1991-11-30,9999-01-01,66401
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01,9999-01-01,40000
11133,Nalini,Azulay,Technique Leader,1994-03-06,9999-01-01,40000
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,9999-01-01,58731
11137,Hugh,Luca,Engineer,1995-03-16,9999-01-01,40000
11139,Bogdan,Homond,Senior Staff,1995-05-11,9999-01-01,63596
11146,Ishfaq,Masand,Senior Staff,1997-08-21,9999-01-01,96019
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,9999-01-01,56344
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,9999-01-01,69873
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,9999-01-01,40000
11197,Tadahiro,Fordan,Senior Staff,1989-09-12,9999-01-01,88741
11203,Sakthirel,Yetto,Senior Staff,1996-01-06,1996-06-15,68049
11204,Diederik,Covnot,Technique Leader,1985-09-18,9999-01-01,40000
11207,Saeed,Gips,Engineer,1999-01-31,9999-01-01,49728
11208,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01,83660
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01,72668
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,9999-01-01,40000
11232,Hidefumi,Crelier,Senior Staff,2000-08-01,9999-01-01,43863
11240,Kiam,Condotta,Engineer,1997-01-06,9999-01-01,61739
11249,Randi,Cyre,Engineer,1994-09-22,9999-01-01,43324
11251,Bezalel,Chinal,Senior Staff,1993-06-15,9999-01-01,69432
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,9999-01-01,40000
11275,Hitomi,Eppinger,Senior Engineer,1998-04-25,9999-01-01,58382
11290,Visit,Dredge,Engineer,1999-05-13,9999-01-01,65034
11291,Gino,Glowinski,Senior Engineer,1985-10-20,2001-04-15,54307
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,9999-01-01,66622
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,9999-01-01,40000
11320,Atilio,McAlpine,Senior Staff,1998-04-06,9999-01-01,45118
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01,43021
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01,54288
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,9999-01-01,82210
11339,Flemming,Massonet,Senior Engineer,1989-12-19,9999-01-01,40000
11347,Anneli,Jonsson,Senior Engineer,1992-04-19,9999-01-01,41524
11365,Toshimi,Shinomoto,Engineer,1997-12-18,9999-01-01,56463
11376,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01,46964
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,9999-01-01,53345
11385,Shiv,Ullian,Engineer,1999-08-08,9999-01-01,40000
11386,Alselm,Assaf,Senior Engineer,1993-11-29,9999-01-01,47726
11393,Junsik,Junot,Senior Engineer,1992-04-30,9999-01-01,40000
11398,Oscar,Peir,Senior Staff,2001-09-07,9999-01-01,44625
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,9999-01-01,42907
11415,Sanjiv,Anido,Engineer,1996-12-07,9999-01-01,40000
11421,Josyula,Msuda,Senior Engineer,1995-09-02,9999-01-01,52416
11431,Youngkon,Picht,Senior Staff,1991-09-16,2001-03-03,44804
11441,Marlo,Aingworth,Senior Staff,1987-03-27,9999-01-01,67352
11449,Kotesh,Asser,Senior Engineer,2000-02-03,9999-01-01,61434
11459,Duke,Suomi,Senior Staff,1992-05-02,9999-01-01,40000
11461,Kish,Cronau,Senior Engineer,1992-08-18,1997-07-20,49398
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,9999-01-01,44625
11477,Fox,Narahari,Engineer,1996-07-28,1996-09-12,40000
11501,Karsten,Ranum,Senior Staff,1999-10-24,2002-03-20,48608
11506,Rance,Picel,Staff,1996-04-08,9999-01-01,89747
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,9999-01-01,40000
11513,Otmar,Mahnke,Senior Staff,1998-08-25,9999-01-01,82525
11515,Ulf,Basawa,Staff,1998-09-21,9999-01-01,70182
11518,Jinxi,Oxman,Senior Staff,1999-09-22,9999-01-01,40000
11524,Xiadong,Standera,Senior Engineer,1996-07-05,9999-01-01,41081
11527,Alagu,Boyle,Staff,1999-01-28,9999-01-01,60212
11528,Zito,Dolinsky,Technique Leader,1987-06-15,9999-01-01,44026
11537,DAIDA,Pehl,Senior Staff,1986-07-06,9999-01-01,96023
11554,Subhash,Taubenfeld,Staff,1998-07-15,9999-01-01,46065
11555,Kotesh,Perfilyeva,Senior Staff,1991-10-14,9999-01-01,40000
11562,Rimli,Alencar,Engineer,1988-06-30,1994-12-13,82255
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03,9999-01-01,86261
11568,Martins,Fujisaki,Senior Engineer,2000-03-13,9999-01-01,54673
11578,Edwin,Rosti,Senior Engineer,1991-11-22,2002-02-17,40000
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,1995-06-12,40000
11603,Herb,Swen,Senior Staff,1994-04-13,9999-01-01,69180
11607,Tomokazu,Foong,Engineer,1995-04-19,9999-01-01,49584
11615,Shem,Isaak,Senior Staff,2000-08-28,9999-01-01,46591
11624,Adil,Gammage,Senior Engineer,1996-07-15,9999-01-01,42001
11628,Fan,Malinowski,Senior Engineer,1997-10-23,9999-01-01,43966
11640,Valeri,Coorg,Senior Engineer,1988-09-26,9999-01-01,52520
11647,Magy,Nitsche,Senior Engineer,1993-05-11,9999-01-01,40000
11660,Gill,Stenning,Senior Staff,1994-11-22,9999-01-01,65758
11673,Henk,Felder,Technique Leader,1989-06-10,9999-01-01,40000
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01,43310
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,9999-01-01,40000
11684,Oksana,Gide,Senior Staff,1995-02-21,9999-01-01,68753
11696,Dante,Rothe,Senior Staff,1994-10-23,9999-01-01,51633
11705,Arve,Hofmeyr,Senior Staff,1990-10-30,1994-06-30,79701
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,9999-01-01,40000
11735,Amalendu,Picci,Senior Staff,1997-07-14,9999-01-01,40000
11738,Tadahiro,Lichtman,Senior Engineer,1992-06-18,1995-06-27,58432
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,9999-01-01,55951
11747,Aksel,Kossowski,Senior Staff,1993-02-20,1999-01-16,90239
11751,Jiafu,Emiris,Senior Staff,1993-11-03,9999-01-01,40000
11764,Sanjay,Anick,Senior Engineer,1996-12-15,9999-01-01,64875
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,9999-01-01,40000
11772,Gaurav,Penz,Engineer,1999-11-07,9999-01-01,61295
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,9999-01-01,88050
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,1991-02-05,40000
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,9999-01-01,41256
11813,Gita,Muhlberg,Staff,1987-03-16,1991-07-20,94687
11817,Niranjan,Markovitch,Senior Staff,1993-04-12,9999-01-01,50638
11832,Arto,Zlotek,Engineer,1996-02-04,9999-01-01,40000
11838,Taiji,Nitta,Staff,1986-07-11,1991-05-09,68674
11844,Shawna,Demeyer,Senior Engineer,1995-01-27,9999-01-01,78049
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,9999-01-01,61941
11857,Divier,Farrag,Senior Staff,1986-08-27,9999-01-01,94805
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01,52517
11871,Nalini,Sommen,Senior Engineer,1998-10-13,9999-01-01,67424
11872,Cheong,Riexinger,Senior Staff,2002-02-12,9999-01-01,43159
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16,1990-10-28,58135
11894,Mitchel,Validov,Senior Engineer,1988-06-22,9999-01-01,56198
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,9999-01-01,80049
11906,Hideo,Boguraev,Engineer,1999-02-07,9999-01-01,81324
11915,Miomir,Mawatari,Senior Engineer,2001-06-28,9999-01-01,58042
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,9999-01-01,73369
11933,Basil,Erman,Senior Engineer,1992-06-12,9999-01-01,56130
11949,Martijn,Harbusch,Technique Leader,1985-03-11,9999-01-01,40000
11983,Jaana,Hedayat,Senior Engineer,1994-10-11,9999-01-01,40000
11987,Vidya,Schaar,Senior Staff,1994-10-17,1997-12-04,40000
11988,Chinya,Chinin,Senior Engineer,1990-11-03,2001-12-31,57652
11993,Marit,Dalphin,Senior Staff,1996-10-22,9999-01-01,56505
12011,Zhilian,Coorg,Senior Staff,1997-07-22,9999-01-01,85833
12025,Jaewoo,Heiserman,Staff,1985-02-28,1990-06-09,62126
12033,Visit,Serot,Engineer,1997-11-30,1999-02-07,49992
12036,Mads,Ratzlaff,Senior Staff,1995-09-05,9999-01-01,67143
12037,Arunas,Katzenelson,Senior Staff,1992-09-30,9999-01-01,47805
12050,Yuchang,Tchuente,Engineer,1996-04-01,9999-01-01,46704
12052,Masako,Khasidashvili,Technique Leader,1986-04-07,1988-08-29,40000
12062,Margareta,Worfolk,Senior Staff,1996-01-04,9999-01-01,44199
12069,Ayonca,Burnard,Senior Engineer,1995-05-13,9999-01-01,51928
12070,Ger,Shokrollahi,Technique Leader,1988-11-14,9999-01-01,50233
12076,Karlis,Siprelle,Senior Staff,1985-03-25,9999-01-01,75381
12082,Xinan,Yamaashi,Senior Staff,1992-01-29,9999-01-01,72118
12087,Weijing,Jumpertz,Engineer,1986-08-16,1993-03-24,45432
12089,Bilhanan,Socorro,Senior Staff,1994-10-22,9999-01-01,46288
12099,Nobuyoshi,Kuzuoka,Senior Staff,1999-02-15,9999-01-01,104610
12103,Becky,Erie,Staff,1990-04-23,1992-09-18,56188
12112,Satyanarayana,Avouris,Senior Staff,1997-09-26,9999-01-01,76538
12122,Satoru,Krone,Senior Engineer,1992-07-23,9999-01-01,46398
12123,Xiahua,Syrzycki,Senior Staff,1994-07-18,9999-01-01,64879
12125,Shounak,Erman,Engineer,1997-03-31,9999-01-01,41215
12128,Yannik,Barreiro,Staff,1997-08-16,1998-11-25,81527
12149,Suebskul,Grandbois,Senior Staff,1988-10-01,9999-01-01,109934
12159,Shem,Perly,Senior Engineer,1985-07-17,9999-01-01,61210
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,9999-01-01,41951
12173,Adel,Nanard,Senior Engineer,1998-09-20,2000-05-20,58321
12183,Harngdar,Iisaku,Engineer,1998-04-04,9999-01-01,40000
12192,Feiyu,Klyachko,Senior Engineer,1991-09-02,9999-01-01,41625
12205,Sushant,Rossi,Senior Engineer,1987-11-11,9999-01-01,40000
12206,Barton,Janetzko,Senior Engineer,2001-03-27,9999-01-01,40000
12218,Yaghout,Strooper,Senior Engineer,2000-03-11,9999-01-01,40000
12221,Vincent,Melter,Senior Engineer,1991-09-16,9999-01-01,56736
12222,Abdelwaheb,Holburn,Senior Staff,1996-08-14,9999-01-01,55840
12223,Niteen,Koyama,Senior Engineer,1995-08-13,9999-01-01,54459
12247,Subbu,Penttonen,Technique Leader,1985-04-09,9999-01-01,59183
12249,Eldridge,Sadowski,Senior Engineer,1996-06-20,9999-01-01,70099
12254,Chaitali,Stafford,Engineer,1988-12-23,1989-10-31,44848
12256,Guadalupe,Reghbati,Senior Staff,1992-08-26,9999-01-01,40000
12264,Mart,Pagter,Engineer,1998-01-09,9999-01-01,51816
12270,Shakhar,Kornyak,Senior Staff,1996-08-19,9999-01-01,52840
12272,Behnaam,Grandbois,Senior Staff,1992-12-07,9999-01-01,43811
12274,Garnik,Papadias,Engineer,1988-04-01,1989-01-18,40000
12276,Yongmin,Lenart,Senior Engineer,2001-06-13,2001-09-25,59844
12303,Godehard,Braccini,Senior Staff,1988-06-13,1988-07-19,40000
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,9999-01-01,58741
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22,9999-01-01,40000
12312,Chenye,Velasco,Engineer,1994-11-24,1996-12-18,52344
12327,DAIDA,Bruckman,Senior Engineer,1992-10-15,9999-01-01,67449
12335,Arnould,Genin,Senior Staff,1995-12-01,2000-06-19,40000
12341,Rasiah,Luga,Senior Engineer,1990-05-25,9999-01-01,40000
12343,Sorina,Slaats,Senior Staff,1997-08-25,9999-01-01,52134
12365,Kamakshi,Bisiani,Senior Engineer,1994-09-12,9999-01-01,40000
12373,Mooi,Driscoll,Senior Staff,1993-11-11,9999-01-01,75986
12395,Sanjit,Felder,Senior Staff,1995-06-05,9999-01-01,66909
12399,Mihalis,Luga,Senior Staff,1996-12-06,9999-01-01,85582
12411,Shao,Ibel,Senior Staff,1991-08-17,9999-01-01,97610
12413,Hugh,Gadepally,Senior Engineer,1999-03-04,9999-01-01,53179
12415,Uri,Sluis,Staff,1994-10-17,1998-10-10,53615
12417,Dannz,Spelt,Senior Engineer,1998-02-02,9999-01-01,67342
12422,Berhard,Demos,Senior Staff,2001-06-07,9999-01-01,71376
12451,Pramod,Marzano,Senior Engineer,1991-11-26,1995-03-18,40000
12454,Kerryn,Farris,Staff,1998-12-18,9999-01-01,41347
12464,Shai,Milicic,Staff,1998-06-01,9999-01-01,50448
12475,Filipe,Roison,Senior Engineer,1996-04-25,9999-01-01,40000
12478,Yahiko,Hopewell,Senior Staff,1997-07-05,1998-12-11,50404
12487,Mona,Reghbati,Senior Staff,1998-12-07,9999-01-01,40000
12489,Arnould,Munck,Senior Engineer,1986-04-11,9999-01-01,63306
12490,Jackson,Muchinsky,Senior Engineer,2000-05-08,9999-01-01,40000
12493,Filipp,Menhardt,Senior Engineer,1988-08-08,1988-12-04,40000
12497,Stein,Penz,Senior Staff,1997-09-25,9999-01-01,81191
12501,Morrie,Matheson,Senior Staff,1986-06-05,9999-01-01,76082
12504,Adly,Rosaz,Engineer,1997-08-14,9999-01-01,40000
12514,Tomofumi,Melter,Engineer,1999-11-13,9999-01-01,54241
12528,Conor,Cincotta,Senior Staff,1997-09-24,9999-01-01,40000
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,9999-01-01,66715
12541,Shih,Nanard,Senior Staff,1996-08-31,9999-01-01,93105
12542,Kazuhide,Bouloucos,Senior Staff,1993-09-11,9999-01-01,44176
12551,Jeane,Tzvieli,Senior Engineer,1993-12-03,9999-01-01,40000
12553,Aral,Vesna,Senior Staff,1987-02-28,9999-01-01,40000
12557,Stafford,Kopetz,Senior Engineer,1988-03-20,9999-01-01,41840
12589,Anoosh,Chleq,Senior Engineer,1997-09-08,9999-01-01,59441
12596,Breannda,Roisin,Senior Staff,1996-09-29,9999-01-01,40000
12601,Ghassan,Simkin,Senior Engineer,2002-07-09,9999-01-01,41714
12608,Nectarios,Mondadori,Senior Staff,2000-02-22,9999-01-01,40000
12635,Xinyu,Restivo,Senior Engineer,2000-02-03,9999-01-01,40000
12637,Poorav,Karner,Senior Staff,1995-11-02,1999-01-08,44370
12638,Yuqun,Seiwald,Engineer,1999-04-29,9999-01-01,56677
12642,Suebskul,Gips,Senior Staff,2001-10-28,9999-01-01,68271
12651,Pragnesh,Bael,Senior Staff,1988-01-27,9999-01-01,75150
12662,Leucio,Alvarado,Engineer,1994-08-27,9999-01-01,69016
12663,Nobuyoshi,Stellhorn,Technique Leader,1986-09-29,9999-01-01,49966
12664,Zhonghua,Parveen,Staff,1999-08-04,9999-01-01,40000
12678,Carrsten,Borovoy,Engineer,1999-06-26,2000-04-22,44529
12689,Luerbio,Boudaillier,Senior Engineer,2001-11-23,9999-01-01,59689
12691,Oddvar,Gils,Senior Engineer,1998-08-25,9999-01-01,48493
12694,Kazuhira,Luders,Engineer,1995-12-01,1998-05-30,53019
12697,Uri,Brizzi,Senior Staff,1994-07-11,9999-01-01,40000
12709,Ronghao,Botman,Senior Engineer,2001-02-25,9999-01-01,45510
12717,Tzu,Jiafu,Staff,1999-10-20,9999-01-01,53194
12722,Elliott,Cheshire,Senior Staff,1985-03-29,9999-01-01,62325
12726,Fumitake,Panwar,Senior Engineer,1994-05-19,9999-01-01,61177
12729,Nahla,Rahier,Senior Engineer,1997-10-15,9999-01-01,51796
12730,Barry,Perl,Technique Leader,1993-07-24,1998-03-24,40000
12731,Yongmao,Waymire,Senior Staff,1988-04-05,9999-01-01,40000
12732,Mara,Takanami,Senior Staff,1988-04-06,9999-01-01,74436
12734,Gil,Frijda,Senior Engineer,1986-03-03,9999-01-01,40000
